year,month,date,value
2001,9,30,96.27
2001,10,1,91.74
2001,10,2,47.17
2001,10,3,63.46
2001,10,4,72.44
2001,10,5,96.31
2001,10,6,89.06
2001,10,7,79.7
2001,10,8,77.91
2001,10,9,94.36
2001,10,10,92.62
2001,10,11,86.74
2001,10,12,88.55
2001,10,13,95.43
2001,10,14,89.93
2001,10,15,84.04
2001,10,16,87.07
2001,10,17,81.38
2001,10,18,81.53
2001,10,19,78.9
2001,10,20,75.62
2001,10,21,74.22
2001,10,22,80.7
2001,10,23,83.33
2001,10,24,79.59
2001,10,25,73.38
2001,10,26,78.13
2001,10,27,84.88
2001,10,28,86.85
2001,10,29,87.87
2001,10,30,83.0
2001,10,31,73.45
2001,11,1,74.34
2001,11,2,72.73
2001,11,3,73.23
2001,11,4,73.96
2001,11,5,72.71
2001,11,6,54.88
2001,11,7,72.09
2001,11,8,79.66
2001,11,9,82.39
2001,11,10,81.23
2001,11,11,81.8
2001,11,12,82.37
2001,11,13,82.77
2001,11,14,75.28
2001,11,15,67.66
2001,11,16,69.79
2001,11,17,70.41
2001,11,18,67.41
2001,11,19,63.97
2001,11,20,59.64
2001,11,21,59.87
2001,11,22,62.05
2001,11,23,61.44
2001,11,24,59.04
2001,11,25,60.8
2001,11,26,60.03
2001,11,27,53.78
2001,11,28,51.98
2001,11,29,60.55
2001,11,30,71.77
2001,12,1,68.58
2001,12,2,71.77
2001,12,3,67.63
2001,12,4,63.4
2001,12,5,64.71
2001,12,6,64.9
2001,12,7,64.07
2001,12,8,58.69
2001,12,9,61.05
2001,12,10,40.74
2001,12,11,48.03
2001,12,12,57.63
2001,12,13,59.29
2001,12,14,30.96
2001,12,15,34.54
2001,12,16,32.54
2001,12,17,49.62
2001,12,18,29.8
2001,12,19,45.36
2001,12,20,50.86
2001,12,21,56.05
2001,12,22,61.53
2001,12,23,68.9
2001,12,24,63.7
2001,12,25,60.23
2001,12,26,50.8
2001,12,27,59.18
2001,12,28,53.65
2001,12,29,52.35
2001,12,30,40.1
2001,12,31,24.79
2002,1,1,49.72
2002,1,2,52.03
2002,1,3,53.82
2002,1,4,60.77
2002,1,5,65.12
2002,1,6,60.22
2002,1,7,59.58
2002,1,8,65.99
2002,1,9,73.88
2002,1,10,65.51
2002,1,11,62.44
2002,1,12,61.9
2002,1,13,53.49
2002,1,14,57.81
2002,1,15,36.95
2002,1,16,64.71
2002,1,17,49.06
2002,1,18,44.42
2002,1,19,42.56
2002,1,20,32.79
2002,1,21,71.46
2002,1,22,65.63
2002,1,23,69.17
2002,1,24,75.44
2002,1,25,72.07
2002,1,26,43.29
2002,1,27,46.93
2002,1,28,68.39
2002,1,29,70.48
2002,1,30,78.03
2002,1,31,81.39
2002,2,1,82.45
2002,2,2,84.4
2002,2,3,85.66
2002,2,4,89.02
2002,2,5,41.7
2002,2,6,57.94
2002,2,7,71.66
2002,2,8,37.83
2002,2,9,66.35
2002,2,10,79.67
2002,2,11,10.67
2002,2,12,77.48
2002,2,13,92.32
2002,2,14,91.34
2002,2,15,88.96
2002,2,16,83.07
2002,2,17,77.22
2002,2,18,88.27
2002,2,19,97.55
2002,2,20,87.91
2002,2,21,97.21
2002,2,22,98.58
2002,2,23,91.06
2002,2,24,93.68
2002,2,25,100.23
2002,2,26,101.48
2002,2,27,103.35
2002,2,28,104.13
2002,3,1,92.45
2002,3,2,62.91
2002,3,3,104.8
2002,3,4,110.76
2002,3,5,110.92
2002,3,6,108.92
2002,3,7,101.3
2002,3,8,101.79
2002,3,9,99.76
2002,3,10,106.83
2002,3,11,104.91
2002,3,12,98.49
2002,3,13,106.2
2002,3,14,101.76
2002,3,15,100.92
2002,3,16,114.77
2002,3,17,115.38
2002,3,18,110.73
2002,3,19,110.95
2002,3,20,116.31
2002,3,21,115.27
2002,3,22,112.13
2002,3,23,118.02
2002,3,24,116.38
2002,3,25,108.28
2002,3,26,113.68
2002,3,27,114.13
2002,3,28,117.21
2002,3,29,125.07
2002,3,30,125.27
2002,3,31,120.4
2002,4,1,107.43
2002,4,2,114.26
2002,4,3,126.84
2002,4,4,129.58
2002,4,5,123.01
2002,4,6,119.53
2002,4,7,91.65
2002,4,8,54.2
2002,4,9,123.2
2002,4,10,129.62
2002,4,11,129.48
2002,4,12,127.09
2002,4,13,123.62
2002,4,14,118.08
2002,4,15,123.16
2002,4,16,128.7
2002,4,17,129.46
2002,4,18,128.88
2002,4,19,134.52
2002,4,20,127.11
2002,4,21,119.07
2002,4,22,126.95
2002,4,23,122.16
2002,4,24,121.7
2002,4,25,106.48
2002,4,26,115.84
2002,4,27,129.54
2002,4,28,108.98
2002,4,29,117.19
2002,4,30,129.34
2002,5,1,125.63
2002,5,2,130.66
2002,5,3,126.2
2002,5,4,137.12
2002,5,5,134.9
2002,5,6,130.78
2002,5,7,131.09
2002,5,8,134.91
2002,5,9,133.01
2002,5,10,133.41
2002,5,11,133.9
2002,5,12,132.51
2002,5,13,121.52
2002,5,14,115.05
2002,5,15,120.43
2002,5,16,120.98
2002,5,17,120.98
2002,5,18,136.68
2002,5,19,125.05
2002,5,20,110.16
2002,5,21,114.92
2002,5,22,135.72
2002,5,23,131.57
2002,5,24,123.24
2002,5,25,120.72
2002,5,26,98.67
2002,5,27,112.15
2002,5,28,94.71
2002,5,29,86.73
2002,5,30,134.39
2002,5,31,140.21
2002,6,1,132.91
2002,6,2,129.4
2002,6,3,127.5
2002,6,4,128.16
2002,6,5,128.01
2002,6,6,127.48
2002,6,7,114.68
2002,6,8,122.11
2002,6,9,106.47
2002,6,10,115.02
2002,6,11,118.41
2002,6,12,84.07
2002,6,13,133.65
2002,6,14,125.83
2002,6,15,121.82
2002,6,16,122.38
2002,6,17,130.85
2002,6,18,139.57
2002,6,19,132.91
2002,6,20,138.69
2002,6,21,123.83
2002,6,22,132.96
2002,6,23,135.77
2002,6,24,133.91
2002,6,25,141.89
2002,6,26,129.08
2002,6,27,85.48
2002,6,28,105.13
2002,6,29,112.2
2002,6,30,120.02
2002,7,1,83.91
2002,7,2,91.16
2002,7,3,76.86
2002,7,4,87.34
2002,7,5,115.78
2002,7,6,117.89
2002,7,7,111.7
2002,7,8,102.7
2002,7,9,110.2
2002,7,10,111.49
2002,7,11,104.91
2002,7,12,88.13
2002,7,13,120.2
2002,7,14,112.9
2002,7,15,110.46
2002,7,16,66.73
2002,7,17,73.85
2002,7,18,128.41
2002,7,19,125.2
2002,7,20,73.58
2002,7,21,90.21
2002,7,22,80.05
2002,7,23,88.45
2002,7,24,99.68
2002,7,25,84.2
2002,7,26,86.25
2002,7,27,98.93
2002,7,28,96.1
2002,7,29,108.76
2002,7,30,102.87
2002,7,31,90.55
2002,8,1,81.75
2002,8,2,110.8
2002,8,3,72.49
2002,8,4,96.96
2002,8,5,106.11
2002,8,6,119.35
2002,8,7,132.41
2002,8,8,126.42
2002,8,9,123.75
2002,8,10,54.19
2002,8,11,22.14
2002,8,12,46.87
2002,8,13,96.7
2002,8,14,100.12
